GVKEY,LPERMNO,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcdq,datacqtr,datafqtr,costat,ggroup,gind,gsector,gsubind,naics,sic
001045,21020,2020-06-30,2020,2,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,2020Q2,2020Q2,A,2030,203020,20,20302010,481111,4512
001045,21020,2020-09-30,2020,3,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,2020Q3,2020Q3,A,2030,203020,20,20302010,481111,4512
001045,21020,2020-12-31,2020,4,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,2020Q4,2020Q4,A,2030,203020,20,20302010,481111,4512
001045,21020,2021-03-31,2021,1,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,2021Q1,2021Q1,A,2030,203020,20,20302010,481111,4512
001045,21020,2021-06-30,2021,2,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,2021Q2,2021Q2,A,2030,203020,20,20302010,481111,4512
001045,21020,2021-09-30,2021,3,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,2021Q3,2021Q3,A,2030,203020,20,20302010,481111,4512
001045,21020,2021-12-31,2021,4,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,2021Q4,2021Q4,A,2030,203020,20,20302010,481111,4512
001045,21020,2022-03-31,2022,1,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,2022Q1,2022Q1,A,2030,203020,20,20302010,481111,4512
001045,21020,2022-06-30,2022,2,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,2022Q2,2022Q2,A,2030,203020,20,20302010,481111,4512
001045,21020,2022-09-30,2022,3,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,2022Q3,2022Q3,A,2030,203020,20,20302010,481111,4512
001045,21020,2022-12-31,2022,4,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,2022Q4,2022Q4,A,2030,203020,20,20302010,481111,4512
